Gutschein/AktionsID;ProgrammID;Programmname;Titel;Gutschein-Code;Beschreibung;gültig ab;gültig bis;geändert am;Gutschein-/Aktionsart 1;Gutschein-/Aktionsart 2;Gutschein-/Aktionsart 3;Mindestbestellwert;Nur für Neukunden;Exklusiv;Partnerschaftsstatus;Werbemittelcode
"93764";"3555";"ebrosia Weinshop";"Nur 39.99 statt 89,94 - Bonfante & Chiarle Roero Arneis "Margarita"";"151562-213a1e";"Nur für kurze Zeit bei ebrosia - der Bonfante & Chiarle Roero Arneis "Margarita" auch als "weißer Barolo" bezeichnet für nur 39,99 € inkl. Versand statt regulär 89,94 zzgl. Versand!";"24.05.2015 09:00:00";"02.06.2015 23:59:00";"24.05.2015 09:01:27";"Auf ausgewählte Produkte";"Versandkostenfrei";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=3555&type=text&tnb=51&ent=264' target='_blank'> Nur 39.99 statt 89,94 - Bonfante & Chiarle Roero Arneis 'Margarita'</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=3555&type=text&tnb=51' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93759";"8386";"frontlineshop.com - Der Premium Fashion Shop";"Pfingstaktion -15% Extra-Rabatt auf alles";"PFINGSTEN";"Bis einschließlich Pfingstmontag gibt es 15% Extra-Rabatt auf alles. Reduzierung: 15% Rabatt auf alles Mindestbestellwert: kein MBW Code: PFINGSTEN Laufzeit: 21. – 25.05.15 Ausgenommen sind folgende Marken: Adidas, Carhartt, Dr. Denim, Drykorn, Fred Perry, Herschel, Iriedaily, New Balance, Nike, Hilfiger Denim, Publish, Review, Stüssy, Volcom.";"22.05.2015 00:01:00";"25.05.2015 23:59:00";"22.05.2015 18:54:58";"Für alle Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=8386&type=text&tnb=9' target='_blank'> Pfingstaktion -15% Extra-Rabatt auf alles</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=8386&type=text&tnb=9' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93406";"8386";"frontlineshop.com - Der Premium Fashion Shop";"Pfingstaktion -15% Extra-Rabatt auf alles";"Pfingsten";"Bis einschließlich Pfingstmontag gibt es 15% Extra-Rabatt auf alles. Reduzierung: 15% Rabatt auf alles Mindestbestellwert: kein MBW Code: PFINGSTEN Laufzeit: 21. – 25.05.15 Ausgenommen sind folgende Marken: Adidas, Carhartt, Dr. Denim, Drykorn, Fred Perry, Herschel, Iriedaily, New Balance, Nike, Hilfiger Denim, Publish, Review, Stüssy, Volcom.";"21.05.2015 00:01:00";"25.05.2015 23:59:00";"22.05.2015 18:49:36";"Für alle Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=8386&type=text&tnb=9' target='_blank'> Pfingstaktion -15% Extra-Rabatt auf alles</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=8386&type=text&tnb=9' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93750";"4277";"Plus Online Shop";"10 % auf alles sparen!";"PLUS-SCHATZ10";"Plus.de hat einen Schatz gefunden! Spart am Pfingstsonntag und Pfingstmontag 10 % auf alles! Der Gutschein ist nicht auf Multimedia, Reifen, Reisen und Partnerangebote gültig.";"24.05.2015 00:01:00";"25.05.2015 23:59:00";"22.05.2015 17:05:48";"Für alle Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=4277&type=text&tnb=40&ent=310' target='_blank'> 10 % auf alles sparen!</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=4277&type=text&tnb=40' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93740";"10117";"Katzenland.de - Katzenfutter und Katzenzubehör";"33% Lagerleerung Super-PRE-Summer-SALE";"AFF-SPAREN-MAI15";"Frischer Sommerwind. Das Lager braucht Platz - Über 1000x Artikel aus dem Bereich Food & Zubehör sowie von sehr vielen Markenherstellern jetzt im Sommer Super-Presale! Wir geben 33% auf Alle Produkte in der Kategorie und machen das Lager leer. Schnell sein lohnt sich.";"24.05.2015 06:00:00";"11.06.2015 00:00:00";"22.05.2015 16:27:42";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=10117&type=text&tnb=7&ent=65' target='_blank'> 33% Lagerleerung Super-PRE-Summer-SALE</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=10117&type=text&tnb=7' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93739";"10058";"Hundeland.de";"33% Lagerleerung Super-PRE-Summer-SALE";"AFF-SPAREN-MAI15";"Frischer Sommerwind. Das Lager braucht Platz - Über 1000x Artikel aus dem Bereich Food & Zubehör sowie von sehr vielen Markenherstellern jetzt im Sommer Super-Presale! Wir geben 33% auf Alle Produkte in der Kategorie und machen das Lager leer. Schnell sein lohnt sich.";"24.05.2015 06:00:00";"11.06.2015 00:00:00";"22.05.2015 16:19:42";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=10058&type=text&tnb=11&ent=72' target='_blank'> 33% Lagerleerung Super-PRE-Summer-SALE</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=10058&type=text&tnb=11' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93726";"8040";"Galeria Kaufhof";"10Prozent_Outdoor";"siehe Beschreibung-";"10% Rabatt auf Outdoorbekleidung & Co. mit dem Gutscheincode KINDERTAG15 (gültig vom 25.05. bis 01.06.15)!";"25.05.2015 00:00:00";"01.06.2015 23:59:00";"22.05.2015 15:26:30";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=8040&type=text&tnb=17&ent=1999' target='_blank'> 10Prozent_Outdoor</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=8040&type=text&tnb=17' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93723";"8040";"Galeria Kaufhof";"10Prozent_Bademode";"s. Beschreibung";"10% Rabatt auf Nachtwäsche & Bademode mit dem Gutscheincode KINDERTAG15 (gültig vom 25.05. bis 01.06.15)!";"25.05.2015 00:00:00";"01.06.2015 23:59:00";"22.05.2015 15:24:53";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=8040&type=text&tnb=17&ent=1997' target='_blank'> 10Prozent_Bademode</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=8040&type=text&tnb=17' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93724";"8040";"Galeria Kaufhof";"10Prozent_Kinderbekleidung";"siehe Beschreibung.";"10% Rabatt auf Baby- & Kinderbekleidung mit dem Gutscheincode KINDERTAG15 (gültig vom 25.05. bis 01.06.15)!";"25.05.2015 00:00:00";"01.06.2015 23:59:00";"22.05.2015 15:24:19";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=8040&type=text&tnb=17&ent=1998' target='_blank'> 10Prozent_Kinderbekleidung</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=8040&type=text&tnb=17' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
"93722";"8040";"Galeria Kaufhof";"10Prozent_Inliner";"siehe Beschreibung";"10% Rabatt auf Inliner & Co. mit dem Gutscheincode KINDERTAG15 (gültig vom 25.05. bis 01.06.15)!";"25.05.2015 00:00:00";"01.06.2015 23:59:00";"22.05.2015 15:21:18";"Auf ausgewählte Produkte";"";"";"";"false";"false";"aktiv";"<!-- BEGIN PARTNER PROGRAM - DO NOT CHANGE THE PARAMETERS OF THE HYPERLINK --> <a href='http://partners.webmasterplan.com/click.asp?ref=610469&site=8040&type=text&tnb=17&ent=1996' target='_blank'> 10Prozent_Inliner</a> <img src='http://banners.webmasterplan.com/view.asp?ref=610469&site=8040&type=text&tnb=17' BORDER='0' WIDTH='1' HEIGHT='1' /> <!-- END PARTNER PROGRAM -->"
